id,name,rating,announcementID,announcementWriter,startTime,
"578","Codeforces Round #320 (Div. 1) [Bayan Thanks-Round]","359","20334","dreamoon_love_AA","2015-09-16 15:15:00",
"579","Codeforces Round #320 (Div. 2) [Bayan Thanks-Round]","359","20334","dreamoon_love_AA","2015-09-16 15:15:00",
"1105","Codeforces Round #533 (Div. 2)","356","64613","Warawreh","2019-01-20 12:05:00",
"383","Codeforces Round #225 (Div. 1)","353","10448","fchirica","2014-01-20 15:30:00",
"384","Codeforces Round #225 (Div. 2)","353","10448","fchirica","2014-01-20 15:30:00",
"1033","Lyft Level 5 Challenge 2018 - Elimination Round","352","62218","majk","2018-10-07 17:05:00",
"1037","Manthan, Codefest 18 (rated, Div. 1 + Div. 2)","352","61570","dhirajfx3","2018-09-02 14:35:00",
"626","8VC Venture Cup 2016 - Elimination Round","351","23515","scott_wu","2016-02-13 17:35:00",
"540","Codeforces Round #301 (Div. 2)","351","17636","dalex","2015-04-30 16:30:00",
"289","Codeforces Round #177 (Div. 2)","351","7218","witua","2013-04-02 15:30:00",
"1166","Codeforces Round #561 (Div. 2)","348","67048","juckter","2019-05-17 15:05:00",
"1103","Codeforces Round #534 (Div. 1)","347","64685","scanhex","2019-01-22 14:35:00",
"1104","Codeforces Round #534 (Div. 2)","347","64685","scanhex","2019-01-22 14:35:00",
"835","Codeforces Round #427 (Div. 2)","347","53566","qoo2p5","2017-07-31 14:35:00",
"519","Codeforces Round #294 (Div. 2)","347","16662","ADJA","2015-02-28 13:00:00",
"379","Good Bye 2013","347","10161","ikar","2013-12-30 15:30:00",
"321","Codeforces Round #190 (Div. 1)","347","8163","cgy4ever","2013-06-28 15:30:00",
"322","Codeforces Round #190 (Div. 2)","347","8163","cgy4ever","2013-06-28 15:30:00",
"804","Codeforces Round #411 (Div. 1)","346","51821","Batman","2017-05-04 14:50:00",
"761","Codeforces Round #394 (Div. 2)","346","50107","Vladik","2017-01-31 14:35:00",
"814","Codeforces Round #418 (Div. 2)","345","52427","cyand1317","2017-06-07 12:15:00",
"636","VeeRoute Marathon","344","43350","Gassa","2016-02-29 17:00:00",
"1019","Codeforces Round #503 (by SIS, Div. 1)","343","61087","_kun_","2018-08-11 13:35:00",
"1020","Codeforces Round #503 (by SIS, Div. 2)","343","61087","_kun_","2018-08-11 13:35:00",
"1119","Codeforces Global Round 2","341","66358","300iq","2019-04-06 11:35:00",
"1168","Codeforces Round #562 (Div. 1)","340","67189","300iq","2019-05-26 15:35:00",
"1169","Codeforces Round #562 (Div. 2)","340","67189","300iq","2019-05-26 15:35:00",
"671","Codeforces Round #352 (Div. 1)","338","44797","muratt","2016-05-11 16:35:00",
"380","Codeforces Round #223 (Div. 1)","338","10334","Sereja","2014-01-12 15:30:00",
"381","Codeforces Round #223 (Div. 2)","338","10334","Sereja","2014-01-12 15:30:00",
"936","Codeforces Round #467 (Div. 1)","335","58017","niyaznigmatul","2018-02-25 16:05:00",
"937","Codeforces Round #467 (Div. 2)","335","58017","niyaznigmatul","2018-02-25 16:05:00",
"909","Codeforces Round #455 (Div. 2)","334","56622","Nickolas","2017-12-27 16:35:00",
"317","Codeforces Round #188 (Div. 1)","331","7862","yaro","2013-06-14 15:30:00",
"318","Codeforces Round #188 (Div. 2)","331","7862","yaro","2013-06-14 15:30:00",
"559","Codeforces Round #313 (Div. 1)","330","19331","Sammarize","2015-07-22 14:00:00",
"560","Codeforces Round #313 (Div. 2)","330","19331","Sammarize","2015-07-22 14:00:00",
"1185","Codeforces Round #568 (Div. 2)","328","67773","geranazavr555","2019-06-19 14:45:00",
"643","VK Cup 2016 - Round 3","327","44723","Errichto","2016-05-07 15:05:00",
"673","Codeforces Round #351 (VK Cup 2016 Round 3, Div. 2 Edition)","327","44723","Errichto","2016-05-07 15:05:00",
"674","Codeforces Round #351 (VK Cup 2016 Round 3, Div. 1 Edition)","327","44723","Errichto","2016-05-07 15:05:00",
"1142","Codeforces Round #549 (Div. 1)","325","66244","grphil","2019-03-30 17:10:00",
"1143","Codeforces Round #549 (Div. 2)","325","66244","grphil","2019-03-30 17:10:00",
"501","Codeforces Round #285 (Div. 2)","325","15725","savinov","2015-01-12 09:00:00",
"504","Codeforces Round #285 (Div. 1)","325","15725","savinov","2015-01-12 09:00:00",
"768","Divide by Zero 2017 and Codeforces Round #399 (Div. 1 + Div. 2, combined)","324","50510","sidprasad","2017-02-20 16:05:00",
"551","Codeforces Round #307 (Div. 2)","323","18473","allllekssssa","2015-06-12 16:45:00",
"283","Codeforces Round #174 (Div. 1)","323","7027","scott_wu","2013-03-17 15:30:00",
"284","Codeforces Round #174 (Div. 2)","323","7027","scott_wu","2013-03-17 15:30:00",
"297","Codeforces Round #180 (Div. 1)","321","7390","ramen-","2013-04-19 15:30:00",
"298","Codeforces Round #180 (Div. 2)","321","7390","ramen-","2013-04-19 15:30:00",
"154","Codeforces Round #109 (Div. 1)","321","3958","Endagorion","2012-02-24 15:00:00",
"155","Codeforces Round #109 (Div. 2)","321","3958","Endagorion","2012-02-24 15:00:00",
"743","Codeforces Round #384 (Div. 2)","320","49037","progmatic2","2016-12-14 14:35:00",
"766","Codeforces Round #396 (Div. 2)","319","50280","mahmoudbadawy","2017-02-07 17:05:00",
"532","VK Cup 2015 - Round 2","319","17446","Zlobober","2015-04-17 16:00:00",
"533","VK Cup 2015 - Round 2 (unofficial online mirror, Div. 1 only)","319","17446","Zlobober","2015-04-17 16:00:00",
"960","Divide by Zero 2018 and Codeforces Round #474 (Div. 1 + Div. 2, combined)","316","58754","vntshh","2018-04-07 16:05:00",
"724","Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)","316","47598","vepifanov","2016-10-08 12:15:00",
"980","Codeforces Round #480 (Div. 2)","314","59322","2-SAD","2018-05-08 15:05:00",
"625","Codeforces Round #342 (Div. 2)","314","23309","GlebsHP","2016-02-07 09:05:00",
"140","Codeforces Round #100","314","3531","natalia","2012-01-04 15:00:00",
"1193","CEOI 2019 day 2 online mirror (unrated, IOI format)","313","68646","majk","2019-07-28 08:05:00",
"1192","CEOI 2019 day 1 online mirror (unrated, IOI format)","313","68646","majk","2019-07-25 14:05:00",
"725","Canada Cup 2016","313","47729","zxqfl","2016-10-22 15:05:00",
"622","Educational Codeforces Round 7","313","23358","Edvard","2016-02-10 15:00:00",
"429","Codeforces Round #245 (Div. 1)","313","12254","fchirica","2014-05-11 15:40:00",
"430","Codeforces Round #245 (Div. 2)","313","12254","fchirica","2014-05-11 15:40:00",
"388","Codeforces Round #228 (Div. 1)","313","10605","cgy4ever","2014-02-03 15:40:00",
"389","Codeforces Round #228 (Div. 2)","313","10605","cgy4ever","2014-02-03 15:40:00",
"842","Codeforces Round #430 (Div. 2)","312","54120","Glebodin","2017-08-29 15:05:00",
"878","Codeforces Round #443 (Div. 1)","311","55402","khadaev","2017-10-26 14:45:00",
"879","Codeforces Round #443 (Div. 2)","311","55402","khadaev","2017-10-26 14:45:00",
"796","Codeforces Round #408 (Div. 2)","311","51503","zoomswk","2017-04-10 16:35:00",
"550","Codeforces Round #306 (Div. 2)","311","18303","ADJA","2015-06-04 16:30:00",
"1163","Codeforces Round #558 (Div. 2)","309","66921","_Kuroni_","2019-05-09 15:05:00",
